"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","224","shows Popper when isCurrentSearchOpen is true","GraphControls","Fri Apr 10 18:56:46 UTC 2026","passed","Fri Apr 10 18:56:47 UTC 2026","","Searching current results","",""
"Test cases for TestEncodingValues","0","TestEncodingValues","","Fri Apr 10 18:55:35 UTC 2026","passed","Fri Apr 10 18:55:35 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestEncodingValues","TestEncodingValues"
"","151","calls handleInitialEnvironment with the highest impactValue as the initial environment","useInitialEnvironment","Fri Apr 10 18:59:34 UTC 2026","passed","Fri Apr 10 18:59:35 UTC 2026","","","",""
"Test cases for TestResources_GetShortestPath","12","TestResources_GetShortestPath","","Fri Apr 10 18:55:07 UTC 2026","passed","Fri Apr 10 18:55:07 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetShortestPath","TestResources_GetShortestPath"
"","455","should close the dialog when the Cancel button is clicked","Privilege Zones History Filter Dialog","Fri Apr 10 18:58:10 UTC 2026","passed","Fri Apr 10 18:58:10 UTC 2026","","","",""
"","256","a name value is required to submit the form","Rule Form","Fri Apr 10 18:56:23 UTC 2026","passed","Fri Apr 10 18:56:23 UTC 2026","","","",""
"Test cases for TestDisenrollMFA_Failure","1","TestDisenrollMFA_Failure","","Fri Apr 10 18:55:46 UTC 2026","passed","Fri Apr 10 18:55:46 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestDisenrollMFA_Failure","TestDisenrollMFA_Failure"
"Test cases for TestGormLogAdapter_Info","0","TestGormLogAdapter_Info","","Fri Apr 10 18:55:10 UTC 2026","passed","Fri Apr 10 18:55:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestGormLogAdapter_Info","TestGormLogAdapter_Info"
"","140","should not display a badge when role based filtering is true and show filter banner is false by default","EntityInfoPanel","Fri Apr 10 18:59:47 UTC 2026","passed","Fri Apr 10 18:59:47 UTC 2026","","","",""
"","124","displays active styles for the selected layout when explore table is enabled","GraphControls","Fri Apr 10 18:56:46 UTC 2026","passed","Fri Apr 10 18:56:46 UTC 2026","","Selecting a layout","",""
"","0","fails for empty password","testPassword","Fri Apr 10 19:00:40 UTC 2026","passed","Fri Apr 10 19:00:40 UTC 2026","","","",""
"Test cases for TestManagementResource_PutUserAuthSecret","6524","TestManagementResource_PutUserAuthSecret","","Fri Apr 10 18:55:07 UTC 2026","passed","Fri Apr 10 18:55:14 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_PutUserAuthSecret","TestManagementResource_PutUserAuthSecret"
"","112","applies correct dynamic height based on filtered data","ActiveExtensionsCard","Fri Apr 10 18:56:21 UTC 2026","passed","Fri Apr 10 18:56:22 UTC 2026","","","",""
"","25","does not show the dropdown by default","ManageColumnsComboBox","Fri Apr 10 18:57:01 UTC 2026","passed","Fri Apr 10 18:57:01 UTC 2026","","","",""
"Test cases for TestCreateUser_Success","1533","TestCreateUser_Success","","Fri Apr 10 18:55:15 UTC 2026","passed","Fri Apr 10 18:55:17 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestCreateUser_Success","TestCreateUser_Success"
