"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestManagementResource_PutUserAuthSecret","4491","TestManagementResource_PutUserAuthSecret","","Tue Jun 30 18:55:05 UTC 2026","passed","Tue Jun 30 18:55:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_PutUserAuthSecret","TestManagementResource_PutUserAuthSecret"
"Test cases for TestIsErrorResponse","0","TestIsErrorResponse","","Tue Jun 30 18:54:56 UTC 2026","passed","Tue Jun 30 18:54:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestIsErrorResponse","TestIsErrorResponse"
"","100","indicates that filters are active","AssetGroupEdit","Tue Jun 30 18:58:20 UTC 2026","passed","Tue Jun 30 18:58:20 UTC 2026","","","",""
"","112","skips undefined items gracefully","<DetailsAccordion />","Tue Jun 30 18:58:06 UTC 2026","passed","Tue Jun 30 18:58:06 UTC 2026","","","",""
"Test cases for TestLoginFailure","4","TestLoginFailure","","Tue Jun 30 18:55:05 UTC 2026","passed","Tue Jun 30 18:55:05 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestLoginFailure","TestLoginFailure"
"","85","collapses an open item when its header is clicked again","<DetailsAccordion />","Tue Jun 30 18:58:07 UTC 2026","passed","Tue Jun 30 18:58:07 UTC 2026","","","",""
"","179","calls onClose when user clicks cancel","PasswordDialog","Tue Jun 30 18:56:46 UTC 2026","passed","Tue Jun 30 18:56:46 UTC 2026","","","",""
"","1","returns the same nodes from the graphData","getExploreTableData","Tue Jun 30 18:59:24 UTC 2026","passed","Tue Jun 30 18:59:24 UTC 2026","","","",""
"","1012","Download button opens a menu and selecting ""All Columns"" calls json2csv with all columns","ExploreTable","Tue Jun 30 18:56:03 UTC 2026","passed","Tue Jun 30 18:56:04 UTC 2026","","","",""
"Test cases for TestHandlers_GetNodeByID","3","TestHandlers_GetNodeByID","","Tue Jun 30 18:55:47 UTC 2026","passed","Tue Jun 30 18:55:47 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/graphdb/internal/handlers/TestHandlers_GetNodeByID","TestHandlers_GetNodeByID"
"","1","removes the key when undefined is passed to the setter","useLocalStorage","Tue Jun 30 18:58:42 UTC 2026","passed","Tue Jun 30 18:58:42 UTC 2026","","setValue","",""
"Test cases for TestAssetGroupMembers_SortBy","0","TestAssetGroupMembers_SortBy","","Tue Jun 30 18:54:56 UTC 2026","passed","Tue Jun 30 18:54:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestAssetGroupMembers_SortBy","TestAssetGroupMembers_SortBy"
"Test cases for TestResources_ListADOUContainedUsers","1","TestResources_ListADOUContainedUsers","","Tue Jun 30 18:55:05 UTC 2026","passed","Tue Jun 30 18:55:05 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADOUContainedUsers","TestResources_ListADOUContainedUsers"
"","225","a null response from the server is handled","ExploreSearchCombobox with null response","Tue Jun 30 18:58:22 UTC 2026","passed","Tue Jun 30 18:58:22 UTC 2026","","","",""
"","148","requests finished jobs","useFinishedJobs","Tue Jun 30 18:58:53 UTC 2026","passed","Tue Jun 30 18:58:54 UTC 2026","","","",""
"","446","calls openSAMLProviderDialog when SAML Provider menu item is clicked","CreateMenu","Tue Jun 30 18:58:23 UTC 2026","passed","Tue Jun 30 18:58:23 UTC 2026","","oidc_support feature flag enabled","",""
"","11","when password is not expired no redirect occurs","AuthenticatedRoute","Tue Jun 30 19:02:33 UTC 2026","passed","Tue Jun 30 19:02:33 UTC 2026","","","",""
"Test cases for TestMoveFileBetweenServices","10","TestMoveFileBetweenServices","","Tue Jun 30 18:55:44 UTC 2026","passed","Tue Jun 30 18:55:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/storage/TestMoveFileBetweenServices","TestMoveFileBetweenServices"
"Test cases for TestResources_UpdateAssetGroupSelectors_SuccessT0","0","TestResources_UpdateAssetGroupSelectors_SuccessT0","","Tue Jun 30 18:55:05 UTC 2026","passed","Tue Jun 30 18:55:05 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateAssetGroupSelectors_SuccessT0","TestResources_UpdateAssetGroupSelectors_SuccessT0"
"Test cases for TestUnmarshalInt64Overflow","0","TestUnmarshalInt64Overflow","","Tue Jun 30 18:55:08 UTC 2026","passed","Tue Jun 30 18:55:08 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalInt64Overflow","TestUnmarshalInt64Overflow"
"Test cases for TestOpenGraphSchemaService_DeleteExtension","3","TestOpenGraphSchemaService_DeleteExtension","","Tue Jun 30 18:55:13 UTC 2026","passed","Tue Jun 30 18:55:13 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/opengraphschema/TestOpenGraphSchemaService_DeleteExtension","TestOpenGraphSchemaService_DeleteExtension"
"Test cases for TestManagementResource_ListPermissions_InvalidFilterPredicate","0","TestManagementResource_ListPermissions_InvalidFilterPredicate","","Tue Jun 30 18:55:10 UTC 2026","passed","Tue Jun 30 18:55:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListPermissions_InvalidFilterPredicate","TestManagementResource_ListPermissions_InvalidFilterPredicate"
"","4","returns null if paramValue is +0","useEnvironmentParams","Tue Jun 30 19:01:36 UTC 2026","passed","Tue Jun 30 19:01:36 UTC 2026","","parseEnvironmentAggregation","",""
"","11","falls back to the default Cypher message when ruleType is undefined and seeds are required","handleError","Tue Jun 30 18:57:38 UTC 2026","passed","Tue Jun 30 18:57:38 UTC 2026","","","",""
"Test cases for TestIsValidContentTypeForUpload","0","TestIsValidContentTypeForUpload","","Tue Jun 30 18:55:05 UTC 2026","passed","Tue Jun 30 18:55:05 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestIsValidContentTypeForUpload","TestIsValidContentTypeForUpload"
"","100","clicking a disabled header does not toggle content","<DetailsAccordion />","Tue Jun 30 18:58:06 UTC 2026","passed","Tue Jun 30 18:58:06 UTC 2026","","","",""
"","585","should accept passwords with standard special characters","CreateUserForm","Tue Jun 30 18:56:45 UTC 2026","passed","Tue Jun 30 18:56:46 UTC 2026","","","",""
"","208","Verify Vault Reader count is the count returned by All Readers","EntityInfoDataTable","Tue Jun 30 18:57:53 UTC 2026","passed","Tue Jun 30 18:57:53 UTC 2026","","Node count for Vault Readers nested table","",""
"","984","should not call onSubmit when password does not match confirmation password when reset password button clicked","PasswordResetForm","Tue Jun 30 18:59:04 UTC 2026","passed","Tue Jun 30 18:59:05 UTC 2026","","","",""
"","91","calls openSAMLProviderDialog when create provider button is clicked","CreateMenu","Tue Jun 30 18:58:24 UTC 2026","passed","Tue Jun 30 18:58:24 UTC 2026","","oidc_support feature flag disabled","",""
"","97","displays the value thats passed via children","CodeController","Tue Jun 30 19:01:18 UTC 2026","passed","Tue Jun 30 19:01:19 UTC 2026","","","",""
"","0","returns null if paramValue is null","useEnvironmentParams","Tue Jun 30 19:01:36 UTC 2026","passed","Tue Jun 30 19:01:36 UTC 2026","","parseEnvironmentAggregation","",""
"Test cases for TestTenantRoles","1","TestTenantRoles","","Tue Jun 30 18:55:25 UTC 2026","passed","Tue Jun 30 18:55:25 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/azure/TestTenantRoles","TestTenantRoles"
"Test cases for TestNormalizeToUTF8_ReaderError","0","TestNormalizeToUTF8_ReaderError","","Tue Jun 30 18:55:26 UTC 2026","passed","Tue Jun 30 18:55:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestNormalizeToUTF8_ReaderError","TestNormalizeToUTF8_ReaderError"
"","783","renders group and tenant dropdown selectors","GroupManagement","Tue Jun 30 19:02:30 UTC 2026","passed","Tue Jun 30 19:02:31 UTC 2026","","","",""
"","1","should exclude tags and operations that do not match the term","opsFilter","Tue Jun 30 19:00:36 UTC 2026","passed","Tue Jun 30 19:00:36 UTC 2026","","","",""
"Test cases for TestDatabase_checkError_NotFound","1","TestDatabase_checkError_NotFound","","Tue Jun 30 18:55:08 UTC 2026","passed","Tue Jun 30 18:55:08 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestDatabase_checkError_NotFound","TestDatabase_checkError_NotFound"
"","714","displays a Upload Files button","FileIngest","Tue Jun 30 19:00:00 UTC 2026","passed","Tue Jun 30 19:00:00 UTC 2026","","","",""
"Test cases for TestManagementResource_ListRoles_InvalidColumn","0","TestManagementResource_ListRoles_InvalidColumn","","Tue Jun 30 18:55:10 UTC 2026","passed","Tue Jun 30 18:55:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListRoles_InvalidColumn","TestManagementResource_ListRoles_InvalidColumn"
"","85","when session token or user are null, redirects to /login","AuthenticatedRoute","Tue Jun 30 19:02:32 UTC 2026","passed","Tue Jun 30 19:02:33 UTC 2026","","","",""
"","71","should display the ETAC role-based filtering badge when filtering is enabled","Zone Management","Tue Jun 30 19:00:29 UTC 2026","passed","Tue Jun 30 19:00:29 UTC 2026","","","",""
"","16","renders highlight only for active member when memberId is present","SelectedHighlight","Tue Jun 30 19:00:43 UTC 2026","passed","Tue Jun 30 19:00:43 UTC 2026","","","",""
"Test cases for TestDomainSelectors_TestIsSortable","0","TestDomainSelectors_TestIsSortable","","Tue Jun 30 18:55:09 UTC 2026","passed","Tue Jun 30 18:55:09 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_TestIsSortable","TestDomainSelectors_TestIsSortable"
"Test cases for TestParseUserIP_XForwardedFor_RemoteAddr","0","TestParseUserIP_XForwardedFor_RemoteAddr","","Tue Jun 30 18:54:59 UTC 2026","passed","Tue Jun 30 18:54:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestParseUserIP_XForwardedFor_RemoteAddr","TestParseUserIP_XForwardedFor_RemoteAddr"
