"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestResources_UpdateAssetGroupSelectors_SuccessT0","0","TestResources_UpdateAssetGroupSelectors_SuccessT0","","Thu May 14 18:55:10 UTC 2026","passed","Thu May 14 18:55:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateAssetGroupSelectors_SuccessT0","TestResources_UpdateAssetGroupSelectors_SuccessT0"
"Test cases for TestResources_DeleteSavedQuery_NotPublicQueryAndUserIsAdmin","0","TestResources_DeleteSavedQuery_NotPublicQueryAndUserIsAdmin","","Thu May 14 18:55:10 UTC 2026","passed","Thu May 14 18:55:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery_NotPublicQueryAndUserIsAdmin","TestResources_DeleteSavedQuery_NotPublicQueryAndUserIsAdmin"
"Test cases for TestRequestWaitDuration","0","TestRequestWaitDuration","","Thu May 14 18:55:04 UTC 2026","passed","Thu May 14 18:55:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestRequestWaitDuration","TestRequestWaitDuration"
"Test cases for TestNewNodeNamePrefix","1","TestNewNodeNamePrefix","","Thu May 14 18:55:22 UTC 2026","passed","Thu May 14 18:55:22 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestNewNodeNamePrefix","TestNewNodeNamePrefix"
"","1","returns false when WebGL is not available in the current browser context","WebGL compatibility check","Thu May 14 19:01:20 UTC 2026","passed","Thu May 14 19:01:20 UTC 2026","","","",""
"","265","displays a Filters button","FileIngest","Thu May 14 19:00:22 UTC 2026","passed","Thu May 14 19:00:22 UTC 2026","","","",""
"","213","Hides selector information if additionalSections is false","EntityInfoDataTableList","Thu May 14 18:59:12 UTC 2026","passed","Thu May 14 18:59:12 UTC 2026","","","",""
"","2","filters by collected=true when ""yes"" filter is active","filterAndSearchEnvironments","Thu May 14 18:56:22 UTC 2026","passed","Thu May 14 18:56:22 UTC 2026","","collected filters","",""
"Test cases for TestResources_ListKinds","63","TestResources_ListKinds","","Thu May 14 18:55:10 UTC 2026","passed","Thu May 14 18:55:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListKinds","TestResources_ListKinds"
"Test cases for Test_SetNodeProperties","0","Test_SetNodeProperties","","Thu May 14 18:55:10 UTC 2026","passed","Thu May 14 18:55:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_SetNodeProperties","Test_SetNodeProperties"
"","608","displays a Upload Files button","FileIngest","Thu May 14 19:00:21 UTC 2026","passed","Thu May 14 19:00:22 UTC 2026","","","",""
"","3","returns true if value is undefined","searchParams","Thu May 14 18:59:40 UTC 2026","passed","Thu May 14 18:59:40 UTC 2026","","isEmptyParam","",""
"Test cases for TestResources_GetNTAuthStoreEntityInfo","194","TestResources_GetNTAuthStoreEntityInfo","","Thu May 14 18:55:10 UTC 2026","passed","Thu May 14 18:55:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetNTAuthStoreEntityInfo","TestResources_GetNTAuthStoreEntityInfo"
"","2","determines glyphs with the tier_managent_engine feature flag disabled","getNodeGlyphs","Thu May 14 19:02:01 UTC 2026","passed","Thu May 14 19:02:01 UTC 2026","","","",""
"Test cases for Test_ApplyTimeoutReduction","0","Test_ApplyTimeoutReduction","","Thu May 14 18:55:14 UTC 2026","passed","Thu May 14 18:55:14 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/Test_ApplyTimeoutReduction","Test_ApplyTimeoutReduction"
"Test cases for TestSeekToKey","1","TestSeekToKey","","Thu May 14 18:55:15 UTC 2026","passed","Thu May 14 18:55:15 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/graphify/TestSeekToKey","TestSeekToKey"
"","304","renders an error message without throwing a TypeError","EntityInfoCollapsibleSection","Thu May 14 19:00:42 UTC 2026","passed","Thu May 14 19:00:42 UTC 2026","","","",""
"","844","renders group and tenant dropdown selectors","GroupManagement","Thu May 14 19:02:02 UTC 2026","passed","Thu May 14 19:02:03 UTC 2026","","","",""
"Test cases for TestResources_ListAssetGroupMembersCount","0","TestResources_ListAssetGroupMembersCount","","Thu May 14 18:55:10 UTC 2026","passed","Thu May 14 18:55:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAssetGroupMembersCount","TestResources_ListAssetGroupMembersCount"
