"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should handle an entity that has an empty name property","Evaluating the entity display name from a given entity","Mon May 11 18:57:47 UTC 2026","passed","Mon May 11 18:57:47 UTC 2026","","","",""
"Test cases for Test_ConvertAzureRoleManagementPolicyAssignment","0","Test_ConvertAzureRoleManagementPolicyAssignment","","Mon May 11 18:55:19 UTC 2026","passed","Mon May 11 18:55:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/ein/Test_ConvertAzureRoleManagementPolicyAssignment","Test_ConvertAzureRoleManagementPolicyAssignment"
"","9","disables useAvailableEnvironment and does not attempt calling handleInitialEnvironment if queryOptions.enabled","useInitialEnvironment","Mon May 11 18:59:53 UTC 2026","passed","Mon May 11 18:59:53 UTC 2026","","","",""
"Test cases for TestAddOwnerRoleIDs","0","TestAddOwnerRoleIDs","","Mon May 11 18:55:19 UTC 2026","passed","Mon May 11 18:55:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/azure/TestAddOwnerRoleIDs","TestAddOwnerRoleIDs"
"Test cases for Test_ParseAndValidatePayload","12","Test_ParseAndValidatePayload","","Mon May 11 18:55:15 UTC 2026","passed","Mon May 11 18:55:15 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/upload/Test_ParseAndValidatePayload","Test_ParseAndValidatePayload"
"","236","The edge properties are fetched through a cypher search which includes lastseen","EdgeObjectInformation","Mon May 11 18:59:08 UTC 2026","passed","Mon May 11 18:59:08 UTC 2026","","","",""
"","136","a timeout response from the server is handled","ExploreSearchCombobox with search timeout","Mon May 11 18:57:56 UTC 2026","passed","Mon May 11 18:57:56 UTC 2026","","","",""
"","81","should hide Environmental Targeted Access Control panel when showEnvironmentAccessControls prop is false","CreateUserForm","Mon May 11 18:56:39 UTC 2026","passed","Mon May 11 18:56:40 UTC 2026","","","",""
"","1","filters by moderate risk level","filterAndSearchEnvironments","Mon May 11 18:56:21 UTC 2026","passed","Mon May 11 18:56:21 UTC 2026","","risk filters","",""
"","426","toggles parent from all to none","GraphDataCheckboxes","Mon May 11 18:57:11 UTC 2026","passed","Mon May 11 18:57:11 UTC 2026","","","",""
