"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for Test_setRawValue","0","Test_setRawValue","","Mon Mar 23 18:54:52 UTC 2026","passed","Mon Mar 23 18:54:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/config/Test_setRawValue","Test_setRawValue"
"","702","should render a SaveQueryDialog","SaveQueryDialog","Mon Mar 23 18:56:07 UTC 2026","passed","Mon Mar 23 18:56:07 UTC 2026","","","",""
"","212","handles creating a new label","Tag Form","Mon Mar 23 18:56:10 UTC 2026","passed","Mon Mar 23 18:56:10 UTC 2026","","","",""
"","31","whencreated","Handling value formatting for Active Directory entity properties lastlogon, lastlogontimestamp, whencreated, and pwdlastset","Mon Mar 23 18:57:16 UTC 2026","passed","Mon Mar 23 18:57:16 UTC 2026","","","",""
"","666","does not allow confirmation while dates are invalid","FileIngestFilterDialog","Mon Mar 23 18:56:59 UTC 2026","passed","Mon Mar 23 18:56:59 UTC 2026","","Date Range Inputs","",""
"Test cases for TestErrorReadDomainSIDandNameAsString","0","TestErrorReadDomainSIDandNameAsString","","Mon Mar 23 18:55:00 UTC 2026","passed","Mon Mar 23 18:55:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/internal/nodeprops/TestErrorReadDomainSIDandNameAsString","TestErrorReadDomainSIDandNameAsString"
"Test cases for Test_HarnessSetup","0","Test_HarnessSetup","","Mon Mar 23 18:55:02 UTC 2026","passed","Mon Mar 23 18:55:02 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_HarnessSetup","Test_HarnessSetup"
"Test cases for TestManagementResource_ListPermissions_InvalidFilterPredicate","1","TestManagementResource_ListPermissions_InvalidFilterPredicate","","Mon Mar 23 18:54:55 UTC 2026","passed","Mon Mar 23 18:54:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListPermissions_InvalidFilterPredicate","TestManagementResource_ListPermissions_InvalidFilterPredicate"
"","231","displays expected results when searching by objectid","SearchCurrentNodes","Mon Mar 23 18:59:08 UTC 2026","passed","Mon Mar 23 18:59:09 UTC 2026","","","",""
"Test cases for TestFeatureFlagManager","2","TestFeatureFlagManager","","Mon Mar 23 18:54:52 UTC 2026","passed","Mon Mar 23 18:54:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/changelog/TestFeatureFlagManager","TestFeatureFlagManager"
"Test cases for Test_GetAssetGroupMembersBySelector","6","Test_GetAssetGroupMembersBySelector","","Mon Mar 23 18:54:50 UTC 2026","passed","Mon Mar 23 18:54:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_GetAssetGroupMembersBySelector","Test_GetAssetGroupMembersBySelector"
"","0","returns false for arrays with different object references","areArraysSimilar","Mon Mar 23 19:00:50 UTC 2026","passed","Mon Mar 23 19:00:50 UTC 2026","","","",""
"","1","filters by active-directory platform","filterAndSearchEnvironments","Mon Mar 23 18:56:21 UTC 2026","passed","Mon Mar 23 18:56:21 UTC 2026","","platform filters","",""
"","908","does not show a warning for using labels associated with tags in label forms (also shows correct View in Explore link)","Rule Form","Mon Mar 23 18:56:31 UTC 2026","passed","Mon Mar 23 18:56:32 UTC 2026","","","",""
"","87","should not display api key management button","Api Keys","Mon Mar 23 18:57:34 UTC 2026","passed","Mon Mar 23 18:57:34 UTC 2026","","","",""
"Test cases for TestManagementResource_UpdateUser_Success","666","TestManagementResource_UpdateUser_Success","","Mon Mar 23 18:55:08 UTC 2026","passed","Mon Mar 23 18:55:08 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_Success","TestManagementResource_UpdateUser_Success"
"","785","displays validation error messages when password does not match confirmation","PasswordDialog","Mon Mar 23 18:56:38 UTC 2026","passed","Mon Mar 23 18:56:38 UTC 2026","","","",""
"Test cases for TestResources_ShareSavedQueriesPermissions_NonAdmin","1","TestResources_ShareSavedQueriesPermissions_NonAdmin","","Mon Mar 23 18:54:50 UTC 2026","passed","Mon Mar 23 18:54:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ShareSavedQueriesPermissions_NonAdmin","TestResources_ShareSavedQueriesPermissions_NonAdmin"
"Test cases for TestResources_DeleteSavedQuery_RecordNotFound","0","TestResources_DeleteSavedQuery_RecordNotFound","","Mon Mar 23 18:54:50 UTC 2026","passed","Mon Mar 23 18:54:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery_RecordNotFound","TestResources_DeleteSavedQuery_RecordNotFound"
"","546","displays current password error messages when current password is empty","PasswordDialog","Mon Mar 23 18:56:38 UTC 2026","passed","Mon Mar 23 18:56:39 UTC 2026","","","",""
"","892","should not call onSubmit when password does not match confirmation password when reset password button clicked","PasswordResetForm","Mon Mar 23 18:58:26 UTC 2026","passed","Mon Mar 23 18:58:27 UTC 2026","","","",""
"","42","displays no data message when there are no extensions","ActiveExtensionsCard","Mon Mar 23 18:56:27 UTC 2026","passed","Mon Mar 23 18:56:27 UTC 2026","","","",""
"","18","when password is expired and not on password reset page, redirects to password reset page","AuthenticatedRoute","Mon Mar 23 19:02:11 UTC 2026","passed","Mon Mar 23 19:02:11 UTC 2026","","","",""
"Test cases for TestDisenrollMFA_Failure","0","TestDisenrollMFA_Failure","","Mon Mar 23 18:55:12 UTC 2026","passed","Mon Mar 23 18:55:12 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestDisenrollMFA_Failure","TestDisenrollMFA_Failure"
"","464","should render","PasswordResetForm","Mon Mar 23 18:58:25 UTC 2026","passed","Mon Mar 23 18:58:25 UTC 2026","","","",""
"","492","should not have less characters than the minimum requirement","UpdateUserForm","Mon Mar 23 18:56:16 UTC 2026","passed","Mon Mar 23 18:56:17 UTC 2026","","","",""
