"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","798","should render a create user form","CreateUserDialog","Wed Mar 11 18:58:38 UTC 2026","passed","Wed Mar 11 18:58:39 UTC 2026","","","",""
"","0","returns false for arrays with different object references","areArraysSimilar","Wed Mar 11 19:02:12 UTC 2026","passed","Wed Mar 11 19:02:12 UTC 2026","","","",""
"","94","displays the value thats passed via children","CodeController","Wed Mar 11 19:02:17 UTC 2026","passed","Wed Mar 11 19:02:17 UTC 2026","","","",""
"","260","sets secondarySearch=id and searchType=node when primarySearch is falsey","ContextMenu","Wed Mar 11 19:03:10 UTC 2026","passed","Wed Mar 11 19:03:10 UTC 2026","","","",""
"","0","returns true if both arrays are empty","areArraysSimilar","Wed Mar 11 19:02:12 UTC 2026","passed","Wed Mar 11 19:02:12 UTC 2026","","","",""
"Test cases for TestResources_ShareSavedQueriesPermissions_NonAdmin","3","TestResources_ShareSavedQueriesPermissions_NonAdmin","","Wed Mar 11 18:54:54 UTC 2026","passed","Wed Mar 11 18:54:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ShareSavedQueriesPermissions_NonAdmin","TestResources_ShareSavedQueriesPermissions_NonAdmin"
"Test cases for TestIntFrom","0","TestIntFrom","","Wed Mar 11 18:55:00 UTC 2026","passed","Wed Mar 11 18:55:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestIntFrom","TestIntFrom"
"","45","indicates that filters are inactive","AssetGroupEdit","Wed Mar 11 18:59:14 UTC 2026","passed","Wed Mar 11 18:59:15 UTC 2026","","","",""
"Test cases for TestMarshalBool","0","TestMarshalBool","","Wed Mar 11 18:55:00 UTC 2026","passed","Wed Mar 11 18:55:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalBool","TestMarshalBool"
"Test cases for TestNewManifest","0","TestNewManifest","","Wed Mar 11 18:55:00 UTC 2026","passed","Wed Mar 11 18:55:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/migration/TestNewManifest","TestNewManifest"
"","47","calls openSAMLProviderDialog when create provider button is clicked","CreateMenu","Wed Mar 11 18:59:15 UTC 2026","passed","Wed Mar 11 18:59:15 UTC 2026","","oidc_support feature flag disabled","",""
"","6","returns {enabled: false} if there is not a match on the switch statement","useExploreGraph","Wed Mar 11 18:59:57 UTC 2026","passed","Wed Mar 11 18:59:57 UTC 2026","","exploreGraphQueryFactory","",""
"Test cases for TestLoginSuccess","5","TestLoginSuccess","","Wed Mar 11 18:54:54 UTC 2026","passed","Wed Mar 11 18:54:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestLoginSuccess","TestLoginSuccess"
"Test cases for TestMap","0","TestMap","","Wed Mar 11 18:55:23 UTC 2026","passed","Wed Mar 11 18:55:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/lab/internal/TestMap","TestMap"
"","128","calls onClick when toggle button clicked","EarlyAccessFeatureToggle","Wed Mar 11 19:03:35 UTC 2026","passed","Wed Mar 11 19:03:35 UTC 2026","","","",""
"","748","lists all available node kinds as options to filter by","AssetGroupEdit","Wed Mar 11 18:59:15 UTC 2026","passed","Wed Mar 11 18:59:15 UTC 2026","","Node Type dropdown filter","",""
"","723","renders the Platforms dropdown and handles click event","QuerySearchFilter","Wed Mar 11 19:00:42 UTC 2026","passed","Wed Mar 11 19:00:43 UTC 2026","","","",""
"","0","should return false when there is no match","OperationsFilterPlugin","Wed Mar 11 19:02:36 UTC 2026","passed","Wed Mar 11 19:02:36 UTC 2026","","","",""
"Test cases for TestCache_NewCache","2","TestCache_NewCache","","Wed Mar 11 18:55:22 UTC 2026","passed","Wed Mar 11 18:55:22 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/cache/TestCache_NewCache","TestCache_NewCache"
"","45","upon selecting a source and destination node, updates the URL with a searchType of 'pathfinding' and the object ids for the source and destination nodes","usePathfindingSearch","Wed Mar 11 19:00:09 UTC 2026","passed","Wed Mar 11 19:00:09 UTC 2026","","","",""
