"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TestOpenGraphSchemaService_UpsertGraphSchemaExtension -","0","TestOpenGraphSchemaService_UpsertGraphSchemaExtension","","Fri Mar 06 18:55:03 UTC 2026","passed","Fri Mar 06 18:55:03 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/opengraphschema/TestOpenGraphSchemaService_UpsertGraphSchemaExtension","TestOpenGraphSchemaService_UpsertGraphSchemaExtension"
"","57","should hide Environmental Targeted Access Control panel when showEnvironmentAccessControls prop is false","UpdateUserForm","Fri Mar 06 18:55:59 UTC 2026","passed","Fri Mar 06 18:55:59 UTC 2026","","","",""
"Test cases for TestContextMiddleware","0","TestContextMiddleware","","Fri Mar 06 18:54:45 UTC 2026","passed","Fri Mar 06 18:54:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestContextMiddleware","TestContextMiddleware"
"Test cases for TestToolContainer_GetScheduledAnalysisConfiguration_Errors","0","TestToolContainer_GetScheduledAnalysisConfiguration_Errors","","Fri Mar 06 18:54:48 UTC 2026","passed","Fri Mar 06 18:54:48 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/tools/TestToolContainer_GetScheduledAnalysisConfiguration_Errors","TestToolContainer_GetScheduledAnalysisConfiguration_Errors"
"","68","displays the value thats passed via children","CodeController","Fri Mar 06 18:59:56 UTC 2026","passed","Fri Mar 06 18:59:56 UTC 2026","","","",""
"Test cases for Test_filterNodesToSearchResult_default","0","Test_filterNodesToSearchResult_default","","Fri Mar 06 18:55:01 UTC 2026","passed","Fri Mar 06 18:55:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/Test_filterNodesToSearchResult_default","Test_filterNodesToSearchResult_default"
"","9","when password is expired and on password reset page, no redirect occurs","AuthenticatedRoute","Fri Mar 06 19:01:10 UTC 2026","passed","Fri Mar 06 19:01:10 UTC 2026","","","",""
"","59","should on clicking remove call clearSelectedItem","EdgeInfoHeader","Fri Mar 06 18:58:53 UTC 2026","passed","Fri Mar 06 18:58:53 UTC 2026","","","",""
"Test cases for TestSetValuesFromEnv","4","TestSetValuesFromEnv","","Fri Mar 06 18:54:54 UTC 2026","passed","Fri Mar 06 18:54:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/config/TestSetValuesFromEnv","TestSetValuesFromEnv"
"Test cases for TestManagementResource_GetSelf","0","TestManagementResource_GetSelf","","Fri Mar 06 18:55:07 UTC 2026","passed","Fri Mar 06 18:55:07 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_GetSelf","TestManagementResource_GetSelf"
"Test cases for TestManagementResource_CreateAuthToken","10691","TestManagementResource_CreateAuthToken","","Fri Mar 06 18:55:12 UTC 2026","passed","Fri Mar 06 18:55:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_CreateAuthToken","TestManagementResource_CreateAuthToken"
"Test cases for TestDisenrollMFA_Admin_SuccessNoPasswordSSO","879","TestDisenrollMFA_Admin_SuccessNoPasswordSSO","","Fri Mar 06 18:55:18 UTC 2026","passed","Fri Mar 06 18:55:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestDisenrollMFA_Admin_SuccessNoPasswordSSO","TestDisenrollMFA_Admin_SuccessNoPasswordSSO"
"","886","should call onSave when Save button is clicked and form input is valid","CreateUserDialog","Fri Mar 06 18:56:16 UTC 2026","passed","Fri Mar 06 18:56:17 UTC 2026","","","",""
"Test cases for TestManagementResource_DeleteUser_UserBhCtxNotFound","0","TestManagementResource_DeleteUser_UserBhCtxNotFound","","Fri Mar 06 18:55:07 UTC 2026","passed","Fri Mar 06 18:55:07 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteUser_UserBhCtxNotFound","TestManagementResource_DeleteUser_UserBhCtxNotFound"
"Test cases for TestResources_ListAuditLogs_DBError","0","TestResources_ListAuditLogs_DBError","","Fri Mar 06 18:54:52 UTC 2026","passed","Fri Mar 06 18:54:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAuditLogs_DBError","TestResources_ListAuditLogs_DBError"
"Test cases for TestDatabase_NullUUID","0","TestDatabase_NullUUID","","Fri Mar 06 18:54:57 UTC 2026","passed","Fri Mar 06 18:54:57 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestDatabase_NullUUID","TestDatabase_NullUUID"
"","253","handles creating a new label","Tag Form","Fri Mar 06 18:55:50 UTC 2026","passed","Fri Mar 06 18:55:50 UTC 2026","","","",""
"","549","displays a warning dialog when mounted","EarlyAccessFeatures","Fri Mar 06 19:01:01 UTC 2026","passed","Fri Mar 06 19:01:01 UTC 2026","","","",""
"Test cases for TestOverwriteQueryParamIfHeaderAndParamExist","1","TestOverwriteQueryParamIfHeaderAndParamExist","","Fri Mar 06 18:55:15 UTC 2026","passed","Fri Mar 06 18:55:15 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/test/TestOverwriteQueryParamIfHeaderAndParamExist","TestOverwriteQueryParamIfHeaderAndParamExist"
"","287","shows an error state","AssetGroupMenuItem","Fri Mar 06 18:56:46 UTC 2026","passed","Fri Mar 06 18:56:46 UTC 2026","","","",""
"Test cases for TestResources_UpdateSavedQuery_InvalidID","0","TestResources_UpdateSavedQuery_InvalidID","","Fri Mar 06 18:54:52 UTC 2026","passed","Fri Mar 06 18:54:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_InvalidID","TestResources_UpdateSavedQuery_InvalidID"
"","0","filters by moderate risk level","filterAndSearchEnvironments","Fri Mar 06 18:56:00 UTC 2026","passed","Fri Mar 06 18:56:00 UTC 2026","","risk filters","",""
"","106","should on clicking collapse all remove expandedPanelSections param from url and set isObjectInfoPanelOpen in context to false","EdgeInfoHeader","Fri Mar 06 18:58:53 UTC 2026","passed","Fri Mar 06 18:58:53 UTC 2026","","","",""
"Test cases for TestGetADDataQualityStats_Failure","1","TestGetADDataQualityStats_Failure","","Fri Mar 06 18:54:52 UTC 2026","passed","Fri Mar 06 18:54:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetADDataQualityStats_Failure","TestGetADDataQualityStats_Failure"
"Test cases for TestResources_GetCertTemplateEntityInfo","245","TestResources_GetCertTemplateEntityInfo","","Fri Mar 06 18:54:52 UTC 2026","passed","Fri Mar 06 18:54:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetCertTemplateEntityInfo","TestResources_GetCertTemplateEntityInfo"
"","52","should should reflect the NOT checked state for public query","SavedQueryPermissions","Fri Mar 06 18:58:34 UTC 2026","passed","Fri Mar 06 18:58:34 UTC 2026","","","",""
"","12","navigates to the specified route with global params intact when triggered by a splat route","AppNavigate","Fri Mar 06 18:58:59 UTC 2026","passed","Fri Mar 06 18:58:59 UTC 2026","","","",""
"","9","shows hint by default","ManagedDatePicker - placeholders","Fri Mar 06 18:57:57 UTC 2026","passed","Fri Mar 06 18:57:57 UTC 2026","","","",""
"Test cases for TestGetVersion","0","TestGetVersion","","Fri Mar 06 18:54:52 UTC 2026","passed","Fri Mar 06 18:54:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetVersion","TestGetVersion"
"","1852","should add an option and display the changelog when it is clicked","AssetGroupEdit","Fri Mar 06 18:58:35 UTC 2026","passed","Fri Mar 06 18:58:37 UTC 2026","","","",""
"","1410","should render","EntityInfoHeader","Fri Mar 06 18:58:33 UTC 2026","passed","Fri Mar 06 18:58:34 UTC 2026","","","",""
"","202","disables checkboxes while loading","SourceKindsCheckboxes","Fri Mar 06 18:57:31 UTC 2026","passed","Fri Mar 06 18:57:31 UTC 2026","","","",""
"","0","fails for password without lowercase letters","testPassword","Fri Mar 06 19:00:11 UTC 2026","passed","Fri Mar 06 19:00:11 UTC 2026","","","",""
"Test cases for TestConvertDomainToNode_InheritanceHashes","0","TestConvertDomainToNode_InheritanceHashes","","Fri Mar 06 18:55:20 UTC 2026","passed","Fri Mar 06 18:55:20 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertDomainToNode_InheritanceHashes","TestConvertDomainToNode_InheritanceHashes"
"Test cases for TestCache_NewCache","2","TestCache_NewCache","","Fri Mar 06 18:55:19 UTC 2026","passed","Fri Mar 06 18:55:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/cache/TestCache_NewCache","TestCache_NewCache"
"","546","filters by the selected status","FileIngestFilterDialog","Fri Mar 06 18:56:31 UTC 2026","passed","Fri Mar 06 18:56:32 UTC 2026","","Status Select","",""
"","205","renders","EarlyAccessFeatureToggle","Fri Mar 06 19:01:16 UTC 2026","passed","Fri Mar 06 19:01:16 UTC 2026","","","",""
"Test cases for TestOpenGraphSchemaService_ListExtensions","0","TestOpenGraphSchemaService_ListExtensions","","Fri Mar 06 18:55:03 UTC 2026","passed","Fri Mar 06 18:55:03 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/opengraphschema/TestOpenGraphSchemaService_ListExtensions","TestOpenGraphSchemaService_ListExtensions"
"Test cases for TestError","0","TestError","","Fri Mar 06 18:54:45 UTC 2026","passed","Fri Mar 06 18:54:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestError","TestError"
"","374","renders","EarlyAccessFeaturesWarningDialog","Fri Mar 06 19:01:22 UTC 2026","passed","Fri Mar 06 19:01:22 UTC 2026","","","",""
"Test cases for TestResources_ListADGroupSessions","1","TestResources_ListADGroupSessions","","Fri Mar 06 18:54:52 UTC 2026","passed","Fri Mar 06 18:54:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADGroupSessions","TestResources_ListADGroupSessions"
"Test cases for TestManagementResource_SAMLCallbackRedirect","6","TestManagementResource_SAMLCallbackRedirect","","Fri Mar 06 18:55:23 UTC 2026","passed","Fri Mar 06 18:55:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_SAMLCallbackRedirect","TestManagementResource_SAMLCallbackRedirect"
"","11","should filter properties that we do not want to display in the entity panel","ObjectInfoFields","Fri Mar 06 18:59:43 UTC 2026","passed","Fri Mar 06 18:59:43 UTC 2026","","","",""
"","234","should render","Rule Object Select","Fri Mar 06 18:58:57 UTC 2026","passed","Fri Mar 06 18:58:57 UTC 2026","","","",""
