"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","A type and keyword were provided but there were no results available","Getting the text for the disabled item display for a search when there are no results","Sat Apr 25 00:59:05 UTC 2026","passed","Sat Apr 25 00:59:05 UTC 2026","","Empty data states","",""
"","323","clicking a delete button calls deleteHandler","PrebuiltSearchList","Sat Apr 25 00:58:39 UTC 2026","passed","Sat Apr 25 00:58:40 UTC 2026","","","",""
"","223","dispatches an action to the delete the associated node","Rule Object Select","Sat Apr 25 00:59:19 UTC 2026","passed","Sat Apr 25 00:59:19 UTC 2026","","","",""
"","80","displays security warning","Enable2FADialog","Sat Apr 25 00:59:23 UTC 2026","passed","Sat Apr 25 00:59:23 UTC 2026","","","",""
"","1","should recognize azure properties","validating a node property against the shared generated schema","Sat Apr 25 00:57:33 UTC 2026","passed","Sat Apr 25 00:57:33 UTC 2026","","","",""
"","97","renders the analysis toggle when multi tier analysis enabled is true and when editing an existing zone","Tag Form","Sat Apr 25 00:55:56 UTC 2026","passed","Sat Apr 25 00:55:57 UTC 2026","","","",""
"","1672","should clear out the SSO Provider id from submission data when the authentication method is changed","CreateUserDialog","Sat Apr 25 00:56:33 UTC 2026","passed","Sat Apr 25 00:56:34 UTC 2026","","","",""
"","59","should should reflect the NOT checked state for public query","SavedQueryPermissions","Sat Apr 25 00:59:07 UTC 2026","passed","Sat Apr 25 00:59:07 UTC 2026","","","",""
"","216","disables a nested graph data option while its source kind is selected","GraphDataCheckboxes","Sat Apr 25 00:56:52 UTC 2026","passed","Sat Apr 25 00:56:52 UTC 2026","","","",""
"","0","calls transformToFlatGraphResponse when graphData matches GraphResponse interface","normalizeGraphDataForSigma","Sat Apr 25 01:01:47 UTC 2026","passed","Sat Apr 25 01:01:47 UTC 2026","","","",""
"","0","should compute the midpoint of a line segment","bezier","Sat Apr 25 01:01:31 UTC 2026","passed","Sat Apr 25 01:01:31 UTC 2026","","","",""
"","102","calls onConfirm when confirm button clicked","EarlyAccessFeaturesWarningDialog","Sat Apr 25 01:01:50 UTC 2026","passed","Sat Apr 25 01:01:50 UTC 2026","","","",""
"Test cases for TestParsePreferHeaderWait","0","TestParsePreferHeaderWait","","Sat Apr 25 00:54:46 UTC 2026","passed","Sat Apr 25 00:54:46 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestParsePreferHeaderWait","TestParsePreferHeaderWait"
"Test cases for TestNewAuditLog_Error","0","TestNewAuditLog_Error","","Sat Apr 25 00:54:55 UTC 2026","passed","Sat Apr 25 00:54:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestNewAuditLog_Error","TestNewAuditLog_Error"
"Test cases for TestResources_UpdateAssetGroupSelectors_PayloadError","0","TestResources_UpdateAssetGroupSelectors_PayloadError","","Sat Apr 25 00:54:54 UTC 2026","passed","Sat Apr 25 00:54:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateAssetGroupSelectors_PayloadError","TestResources_UpdateAssetGroupSelectors_PayloadError"
"","151","does not show ""API Expiration Date"" column header when expiration is disabled","UserTokenManagementDialog - API Expiration Date column","Sat Apr 25 00:57:19 UTC 2026","passed","Sat Apr 25 00:57:19 UTC 2026","","","",""
"","308","has user filters","FileIngestFilterDialog","Sat Apr 25 00:57:17 UTC 2026","passed","Sat Apr 25 00:57:17 UTC 2026","","User Select","",""
"Test cases for TestResources_UpdateSavedQuery_NotAUserAuth","0","TestResources_UpdateSavedQuery_NotAUserAuth","","Sat Apr 25 00:54:54 UTC 2026","passed","Sat Apr 25 00:54:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_NotAUserAuth","TestResources_UpdateSavedQuery_NotAUserAuth"
"","6","when password is not expired no redirect occurs","AuthenticatedRoute","Sat Apr 25 01:01:37 UTC 2026","passed","Sat Apr 25 01:01:37 UTC 2026","","","",""
"","12","displays lastlogon cell as NEVER when the value is -1","ExploreTableDataCell","Sat Apr 25 01:00:03 UTC 2026","passed","Sat Apr 25 01:00:03 UTC 2026","","","",""
"Test cases for TestSignRequestTeeFailure","0","TestSignRequestTeeFailure","","Sat Apr 25 00:54:44 UTC 2026","passed","Sat Apr 25 00:54:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestSignRequestTeeFailure","TestSignRequestTeeFailure"
"Test cases for TestManagementResource_GetSAMLProvider","11","TestManagementResource_GetSAMLProvider","","Sat Apr 25 00:55:25 UTC 2026","passed","Sat Apr 25 00:55:25 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_GetSAMLProvider","TestManagementResource_GetSAMLProvider"
"","0","returns empty array when environments is undefined","filterAndSearchEnvironments","Sat Apr 25 00:56:09 UTC 2026","passed","Sat Apr 25 00:56:09 UTC 2026","","with empty environments","",""
"","609","should fire Confirm once with true after typing challenge text","DeleteConfirmationDialog","Sat Apr 25 01:00:12 UTC 2026","passed","Sat Apr 25 01:00:13 UTC 2026","","","",""
"","323","renders a snackbar notification in the dom and tests autoHideDuration","AppNotifications","Sat Apr 25 00:59:27 UTC 2026","passed","Sat Apr 25 00:59:27 UTC 2026","","","",""
"","63","displays the checkbox as checked if the filter params value is 'true'","AssetGroupEdit","Sat Apr 25 00:57:39 UTC 2026","passed","Sat Apr 25 00:57:39 UTC 2026","","Custom Member checkbox filter","",""
"","14","does not include OpenGraph edges when the associated feature flag is disabled","useEdgeCategories","Sat Apr 25 00:57:45 UTC 2026","passed","Sat Apr 25 00:57:45 UTC 2026","","","",""
"","579","does not allow confirmation while dates are invalid","FileIngestFilterDialog","Sat Apr 25 00:57:16 UTC 2026","passed","Sat Apr 25 00:57:17 UTC 2026","","Date Range Inputs","",""
"Test cases for TestGenericClone","0","TestGenericClone","","Sat Apr 25 00:54:58 UTC 2026","passed","Sat Apr 25 00:54:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestGenericClone","TestGenericClone"
"Test cases for TestAddWhereClauseToNeo4jQuery_WithWhereClause","0","TestAddWhereClauseToNeo4jQuery_WithWhereClause","","Sat Apr 25 00:54:54 UTC 2026","passed","Sat Apr 25 00:54:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestAddWhereClauseToNeo4jQuery_WithWhereClause","TestAddWhereClauseToNeo4jQuery_WithWhereClause"
"","3","returns null if paramValue is +0","useEnvironmentParams","Sat Apr 25 01:00:41 UTC 2026","passed","Sat Apr 25 01:00:41 UTC 2026","","parseEnvironmentAggregation","",""
"","359","renders no asset group edit options without graph write permissions","ContextMenu","Sat Apr 25 01:01:22 UTC 2026","passed","Sat Apr 25 01:01:22 UTC 2026","","","",""
"","57","initializes the categories with just the built-in defaults when edge endpoint returns nothing","useEdgeCategories","Sat Apr 25 00:57:45 UTC 2026","passed","Sat Apr 25 00:57:45 UTC 2026","","","",""
"","2","receives the current stored value as the previous state","useLocalStorage","Sat Apr 25 00:57:58 UTC 2026","passed","Sat Apr 25 00:57:58 UTC 2026","","functional updater","",""
"","260","fires click handlers","ConfirmDeleteQueryDialog","Sat Apr 25 01:00:35 UTC 2026","passed","Sat Apr 25 01:00:35 UTC 2026","","","",""
"","3","returns true if value is undefined","searchParams","Sat Apr 25 00:59:11 UTC 2026","passed","Sat Apr 25 00:59:11 UTC 2026","","isEmptyParam","",""
"","214","on clicking switch shows modal and when clicking confirm closes it and switch changes to disabled","CitrixRDPConfiguration","Sat Apr 25 00:57:46 UTC 2026","passed","Sat Apr 25 00:57:46 UTC 2026","","Click on switch to disable","",""
"","83","initializes the list with all filters checked by default","usePathfindingFilters","Sat Apr 25 01:00:08 UTC 2026","passed","Sat Apr 25 01:00:08 UTC 2026","","","",""
"","1525","renders correct search elements after keypresses","GraphView","Sat Apr 25 01:01:28 UTC 2026","passed","Sat Apr 25 01:01:29 UTC 2026","","","",""
"","133","displays a table of completed ingest logs","FileIngest","Sat Apr 25 00:59:53 UTC 2026","passed","Sat Apr 25 00:59:54 UTC 2026","","","",""
"","51","displays no data message when there are no extensions","ActiveExtensionsCard","Sat Apr 25 00:56:15 UTC 2026","passed","Sat Apr 25 00:56:15 UTC 2026","","","",""
"Test cases for TestMaybeSubmitRelationshipUpdate","0","TestMaybeSubmitRelationshipUpdate","","Sat Apr 25 00:54:56 UTC 2026","passed","Sat Apr 25 00:54:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/graphify/TestMaybeSubmitRelationshipUpdate","TestMaybeSubmitRelationshipUpdate"
"","2","should return null if the edge key does not have enough information","getEdgeDataFromKey","Sat Apr 25 01:01:48 UTC 2026","passed","Sat Apr 25 01:01:48 UTC 2026","","","",""
"","15","does not show View in Explore if exploreUrl is not supplied","Seed Selection Results","Sat Apr 25 00:57:22 UTC 2026","passed","Sat Apr 25 00:57:22 UTC 2026","","","",""
"","104","should display api key management button","Api Keys","Sat Apr 25 00:57:52 UTC 2026","passed","Sat Apr 25 00:57:53 UTC 2026","","","",""
"","268","Displays a notification when analysis has been requested successfully","AnalyzeNowConfiguration","Sat Apr 25 00:57:58 UTC 2026","passed","Sat Apr 25 00:57:58 UTC 2026","","","",""
"","29","should highlight main nav route when navigating to child route","Main Nav Route Highlighting","Sat Apr 25 00:57:56 UTC 2026","passed","Sat Apr 25 00:57:57 UTC 2026","","","",""
"","932","opens a submenu when user hovers over `Copy`","ContextMenu","Sat Apr 25 00:57:22 UTC 2026","passed","Sat Apr 25 00:57:22 UTC 2026","","","",""
"Test cases for TestMap","0","TestMap","","Sat Apr 25 00:55:00 UTC 2026","passed","Sat Apr 25 00:55:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/lab/internal/TestMap","TestMap"
"","521","should call onSubmit with initiation_url of selected SSO provider","LoginViaSSOForm","Sat Apr 25 00:59:09 UTC 2026","passed","Sat Apr 25 00:59:10 UTC 2026","","","",""
"Test cases for TestManagementResource_ListAuthTokens_NonAdmin","0","TestManagementResource_ListAuthTokens_NonAdmin","","Sat Apr 25 00:55:16 UTC 2026","passed","Sat Apr 25 00:55:16 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_NonAdmin","TestManagementResource_ListAuthTokens_NonAdmin"
"","581","handles creating a new rule","Rule Form","Sat Apr 25 00:56:18 UTC 2026","passed","Sat Apr 25 00:56:18 UTC 2026","","","",""
"","14","displays a status label","StatusIndicator","Sat Apr 25 01:00:34 UTC 2026","passed","Sat Apr 25 01:00:34 UTC 2026","","","",""
"","794","should not have less characters than the minimum requirement","CreateUserForm","Sat Apr 25 00:56:59 UTC 2026","passed","Sat Apr 25 00:57:00 UTC 2026","","","",""
"Test cases for TestParseSkipQueryParameter","0","TestParseSkipQueryParameter","","Sat Apr 25 00:54:54 UTC 2026","passed","Sat Apr 25 00:54:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseSkipQueryParameter","TestParseSkipQueryParameter"
"","0","returns undefined if graphData is undefined or not a GraphResponse","getExploreTableData","Sat Apr 25 00:58:40 UTC 2026","passed","Sat Apr 25 00:58:40 UTC 2026","","","",""
"Test cases for TestRoleMembers","0","TestRoleMembers","","Sat Apr 25 00:54:59 UTC 2026","passed","Sat Apr 25 00:54:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/azure/TestRoleMembers","TestRoleMembers"
"Test cases for TestResources_ListADComputerConstrainedDelegationUsers","1","TestResources_ListADComputerConstrainedDelegationUsers","","Sat Apr 25 00:54:54 UTC 2026","passed","Sat Apr 25 00:54:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADComputerConstrainedDelegationUsers","TestResources_ListADComputerConstrainedDelegationUsers"
"Test cases for TestMatches_FailureErrMsg","0","TestMatches_FailureErrMsg","","Sat Apr 25 00:54:55 UTC 2026","passed","Sat Apr 25 00:54:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestMatches_FailureErrMsg","TestMatches_FailureErrMsg"
"","67","renders a button when actor is not BloodHoundString and note exists","NoteCell component","Sat Apr 25 00:59:23 UTC 2026","passed","Sat Apr 25 00:59:24 UTC 2026","","","",""
"","306","Selecting an edge that meets ACL inheritance criteria shows the ""ACE Inherited From"" dropdown","EdgeInfoContent","Sat Apr 25 00:56:16 UTC 2026","passed","Sat Apr 25 00:56:16 UTC 2026","","","",""
"","154","should fire Cancel once with false","ConfirmationDialog","Sat Apr 25 01:00:30 UTC 2026","passed","Sat Apr 25 01:00:30 UTC 2026","","","",""
"","96","should call onCancel when return to login button clicked","OneTimePasscodeForm","Sat Apr 25 00:59:57 UTC 2026","passed","Sat Apr 25 00:59:57 UTC 2026","","","",""
"","0","should handle an entity that has no name property","Evaluating the entity display name from a given entity","Sat Apr 25 00:57:33 UTC 2026","passed","Sat Apr 25 00:57:33 UTC 2026","","","",""
"Test cases for TestFoldl","1","TestFoldl","","Sat Apr 25 00:55:01 UTC 2026","passed","Sat Apr 25 00:55:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestFoldl","TestFoldl"
"Test cases for TestGraphQuery_RawCypherQuery","0","TestGraphQuery_RawCypherQuery","","Sat Apr 25 00:54:55 UTC 2026","passed","Sat Apr 25 00:54:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/TestGraphQuery_RawCypherQuery","TestGraphQuery_RawCypherQuery"
"","0","returns false if value is {}","searchParams","Sat Apr 25 00:59:11 UTC 2026","passed","Sat Apr 25 00:59:11 UTC 2026","","isEmptyParam","",""
"Test cases for TestDatabase_GetAssetGroupTag","2","TestDatabase_GetAssetGroupTag","","Sat Apr 25 00:54:54 UTC 2026","passed","Sat Apr 25 00:54:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestDatabase_GetAssetGroupTag","TestDatabase_GetAssetGroupTag"
"","317","filling in the name value allows updating the selector and navigates back to the details page","Tag Form","Sat Apr 25 00:55:57 UTC 2026","passed","Sat Apr 25 00:55:57 UTC 2026","","","",""
"Test cases for TestManagementResource_SAMLLoginRedirect","10","TestManagementResource_SAMLLoginRedirect","","Sat Apr 25 00:55:25 UTC 2026","passed","Sat Apr 25 00:55:25 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_SAMLLoginRedirect","TestManagementResource_SAMLLoginRedirect"
"","37","applies empty state height when no results","ActiveExtensionsCard","Sat Apr 25 00:56:16 UTC 2026","passed","Sat Apr 25 00:56:16 UTC 2026","","","",""
"","29","should display a badge when role based filtering is true and show filter banner is true","EntityInfoPanel","Sat Apr 25 00:59:46 UTC 2026","passed","Sat Apr 25 00:59:46 UTC 2026","","","",""
"","8","does not return when zone limit is not reached","useTagLimits","Sat Apr 25 00:56:24 UTC 2026","passed","Sat Apr 25 00:56:24 UTC 2026","","","",""
"Test cases for TestMap","0","TestMap","","Sat Apr 25 00:55:01 UTC 2026","passed","Sat Apr 25 00:55:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestMap","TestMap"
"","378","should display ""Generate/Revoke API Tokens"" title","UserTokenManagementDialog","Sat Apr 25 00:57:17 UTC 2026","passed","Sat Apr 25 00:57:18 UTC 2026","","","",""
"Test cases for TestQueryParameterFilterParser_ParseQueryParameterFilter","1","TestQueryParameterFilterParser_ParseQueryParameterFilter","","Sat Apr 25 00:54:55 UTC 2026","passed","Sat Apr 25 00:54:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestQueryParameterFilterParser_ParseQueryParameterFilter","TestQueryParameterFilterParser_ParseQueryParameterFilter"
"","7","should render when search string is not found in the text","HighlightedText","Sat Apr 25 00:59:59 UTC 2026","passed","Sat Apr 25 00:59:59 UTC 2026","","","",""
"Test cases for TestStringFromPtr","0","TestStringFromPtr","","Sat Apr 25 00:54:55 UTC 2026","passed","Sat Apr 25 00:54:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestStringFromPtr","TestStringFromPtr"
"Test cases for TestHasSequence","0","TestHasSequence","","Sat Apr 25 00:54:59 UTC 2026","passed","Sat Apr 25 00:54:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestHasSequence","TestHasSequence"
"Test cases for TestConvertDomainToNode_DomainInvalidProperties","0","TestConvertDomainToNode_DomainInvalidProperties","","Sat Apr 25 00:55:00 UTC 2026","passed","Sat Apr 25 00:55:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertDomainToNode_DomainInvalidProperties","TestConvertDomainToNode_DomainInvalidProperties"
"Test cases for TestGetLatestQueryParameter","0","TestGetLatestQueryParameter","","Sat Apr 25 00:54:54 UTC 2026","passed","Sat Apr 25 00:54:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetLatestQueryParameter","TestGetLatestQueryParameter"
