"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Calls the cypher search endpoint for a node that is hidden from user with not all environments access","EntityObjectInformation","Mon Mar 30 18:58:27 UTC 2026","passed","Mon Mar 30 18:58:27 UTC 2026","","","",""
"","81","should on clicking collapse all remove expandedPanelSections param from url and set isObjectInfoPanelOpen in context to false","EntityInfoHeader","Mon Mar 30 18:59:04 UTC 2026","passed","Mon Mar 30 18:59:04 UTC 2026","","","",""
"Test cases for TestStringPointer","0","TestStringPointer","","Mon Mar 30 18:55:07 UTC 2026","passed","Mon Mar 30 18:55:07 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestStringPointer","TestStringPointer"
"","95","takes the param appendQueryKey and will append that value to the existing queryKey","useAvailableEnvironments","Mon Mar 30 18:59:47 UTC 2026","passed","Mon Mar 30 18:59:47 UTC 2026","","useAvailableEnvironments","",""
"","427","should call onSubmit with one time passcode when check code button clicked","OneTimePasscodeForm","Mon Mar 30 18:59:54 UTC 2026","passed","Mon Mar 30 18:59:55 UTC 2026","","","",""
"","61","disables delete button for built-in extensions","ActiveExtensionsCard","Mon Mar 30 18:56:25 UTC 2026","passed","Mon Mar 30 18:56:25 UTC 2026","","","",""
"Test cases for TestDisenrollMFA_Admin_FailureIncorrectPassword","2349","TestDisenrollMFA_Admin_FailureIncorrectPassword","","Mon Mar 30 18:55:44 UTC 2026","passed","Mon Mar 30 18:55:47 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestDisenrollMFA_Admin_FailureIncorrectPassword","TestDisenrollMFA_Admin_FailureIncorrectPassword"
"","4","formats the date string","toFormatted","Mon Mar 30 18:59:59 UTC 2026","passed","Mon Mar 30 18:59:59 UTC 2026","","","",""
"","3","isLoading returns as expected based on all queries combined","queriesAreLoadingOrErrored","Mon Mar 30 19:00:42 UTC 2026","passed","Mon Mar 30 19:00:42 UTC 2026","","","",""
"","297","handles chevron click event","CommonSearches","Mon Mar 30 18:57:10 UTC 2026","passed","Mon Mar 30 18:57:10 UTC 2026","","","",""
"Test cases for TestWriteBasicResponse","0","TestWriteBasicResponse","","Mon Mar 30 18:54:52 UTC 2026","passed","Mon Mar 30 18:54:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestWriteBasicResponse","TestWriteBasicResponse"
"","30","should display hidden node label for hidden node","EntityInfoHeader","Mon Mar 30 18:59:04 UTC 2026","passed","Mon Mar 30 18:59:04 UTC 2026","","","",""
"Test cases for TestRandomDurationBetween","19","TestRandomDurationBetween","","Mon Mar 30 18:55:04 UTC 2026","passed","Mon Mar 30 18:55:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/datapipe/TestRandomDurationBetween","TestRandomDurationBetween"
"","106","returns an object with values for assetGroupTagId, params, and setPZQueryParams","usePZQueryParams","Mon Mar 30 18:58:53 UTC 2026","passed","Mon Mar 30 18:58:53 UTC 2026","","","",""
"Test cases for TestFilter","0","TestFilter","","Mon Mar 30 18:55:42 UTC 2026","passed","Mon Mar 30 18:55:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestFilter","TestFilter"
"","231","adds node to asset group tag without confirmation","AssetGroupMenuItem","Mon Mar 30 18:57:11 UTC 2026","passed","Mon Mar 30 18:57:11 UTC 2026","","","",""
"","415","displays a validation error","ManagedDatePicker - date validation","Mon Mar 30 18:58:29 UTC 2026","passed","Mon Mar 30 18:58:29 UTC 2026","","","",""
"","64","shows the direct object list and expanded object list empty, when only direct objects in results","Seed Selection Results","Mon Mar 30 18:56:58 UTC 2026","passed","Mon Mar 30 18:56:58 UTC 2026","","","",""
"Test cases for TestManagementResource_ListAuthTokens_DBError","0","TestManagementResource_ListAuthTokens_DBError","","Mon Mar 30 18:55:33 UTC 2026","passed","Mon Mar 30 18:55:33 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_DBError","TestManagementResource_ListAuthTokens_DBError"
"","272","should display a searchbox with a placeholder when rendered","AssetGroupEdit","Mon Mar 30 18:59:02 UTC 2026","passed","Mon Mar 30 18:59:02 UTC 2026","","","",""
"","0","fails for empty password","testPassword","Mon Mar 30 19:00:43 UTC 2026","passed","Mon Mar 30 19:00:43 UTC 2026","","","",""
"Test cases for TestResources_ListADDomainForeignGPOControllers","0","TestResources_ListADDomainForeignGPOControllers","","Mon Mar 30 18:55:03 UTC 2026","passed","Mon Mar 30 18:55:03 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainForeignGPOControllers","TestResources_ListADDomainForeignGPOControllers"
"","130","renders with a selected icon","Glyph Select Dialog","Mon Mar 30 19:00:19 UTC 2026","passed","Mon Mar 30 19:00:19 UTC 2026","","","",""
"Test cases for TestSavedQueries_IsString","0","TestSavedQueries_IsString","","Mon Mar 30 18:55:07 UTC 2026","passed","Mon Mar 30 18:55:07 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestSavedQueries_IsString","TestSavedQueries_IsString"
"Test cases for TestUnmarshalBool","0","TestUnmarshalBool","","Mon Mar 30 18:55:07 UTC 2026","passed","Mon Mar 30 18:55:07 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalBool","TestUnmarshalBool"
"","2","Edge is created with correct structure including points array","copySigmaEdgesToGraphlibGraph","Mon Mar 30 19:01:42 UTC 2026","passed","Mon Mar 30 19:01:42 UTC 2026","","","",""
"","0","The data is fetching","Getting the text for the disabled item display for a search when there are no results","Mon Mar 30 18:58:40 UTC 2026","passed","Mon Mar 30 18:58:40 UTC 2026","","Loading states","",""
"Test cases for TestSavedQueries_GetValidFilterPredicatesAsStrings","0","TestSavedQueries_GetValidFilterPredicatesAsStrings","","Mon Mar 30 18:55:07 UTC 2026","passed","Mon Mar 30 18:55:07 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestSavedQueries_GetValidFilterPredicatesAsStrings","TestSavedQueries_GetValidFilterPredicatesAsStrings"
"Test cases for TestSignRequestTeeFailure","0","TestSignRequestTeeFailure","","Mon Mar 30 18:54:51 UTC 2026","passed","Mon Mar 30 18:54:51 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestSignRequestTeeFailure","TestSignRequestTeeFailure"
"","46","displays the value from filterParams.node_type","AssetGroupEdit","Mon Mar 30 18:57:17 UTC 2026","passed","Mon Mar 30 18:57:17 UTC 2026","","Node Type dropdown filter","",""
"","1","EXTENDED ROUNDING when thresholds are set: returns a comma separated number when provided with a number > 999","numberFormatting","Mon Mar 30 18:58:34 UTC 2026","passed","Mon Mar 30 18:58:34 UTC 2026","","","",""
