"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","292","should eventually display list of tokens","UserTokenManagementDialog","Tue Mar 31 18:56:55 UTC 2026","passed","Tue Mar 31 18:56:55 UTC 2026","","","",""
"Test cases for TestGC_NewDataPruningDaemon","0","TestGC_NewDataPruningDaemon","","Tue Mar 31 18:55:06 UTC 2026","passed","Tue Mar 31 18:55:06 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/gc/TestGC_NewDataPruningDaemon","TestGC_NewDataPruningDaemon"
"","123","renders enabled Zone and Rule tabs and disabled Object tab","Selected Details Tabs","Tue Mar 31 18:57:36 UTC 2026","passed","Tue Mar 31 18:57:37 UTC 2026","","Selected Details Tabs - Params present","",""
"Test cases for TestFloatFromPtr","0","TestFloatFromPtr","","Tue Mar 31 18:55:06 UTC 2026","passed","Tue Mar 31 18:55:06 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestFloatFromPtr","TestFloatFromPtr"
"","475","accepts a valid file and allows the user to continue through the upload process","File Upload","Tue Mar 31 18:57:54 UTC 2026","passed","Tue Mar 31 18:57:55 UTC 2026","","","",""
"","16","renders nothing if flag is enabled and enabled prop is not provided","FeatureFlag","Tue Mar 31 18:59:11 UTC 2026","passed","Tue Mar 31 18:59:11 UTC 2026","","","",""
"Test cases for TestParseUserIP_RemoteAddrOnly","0","TestParseUserIP_RemoteAddrOnly","","Tue Mar 31 18:54:57 UTC 2026","passed","Tue Mar 31 18:54:57 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestParseUserIP_RemoteAddrOnly","TestParseUserIP_RemoteAddrOnly"
"","7","does not render highlight for non-active tag","SelectedHighlight","Tue Mar 31 18:59:25 UTC 2026","passed","Tue Mar 31 18:59:25 UTC 2026","","","",""
"","0","filters by multiple risk levels","filterAndSearchEnvironments","Tue Mar 31 18:56:10 UTC 2026","passed","Tue Mar 31 18:56:10 UTC 2026","","risk filters","",""
"","1787","displays a list of available sharphound and azurehound files to download","DownloadCollectors","Tue Mar 31 19:00:40 UTC 2026","passed","Tue Mar 31 19:00:41 UTC 2026","","","",""
"Test cases for TestManagementResource_GetPermission","26437","TestManagementResource_GetPermission","","Tue Mar 31 18:55:11 UTC 2026","passed","Tue Mar 31 18:55:38 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_GetPermission","TestManagementResource_GetPermission"
"Test cases for TestMarshalString","0","TestMarshalString","","Tue Mar 31 18:55:06 UTC 2026","passed","Tue Mar 31 18:55:06 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalString","TestMarshalString"
"","140","calls handleInitialEnvironment with the highest impactValue as the initial environment","useInitialEnvironment","Tue Mar 31 18:59:07 UTC 2026","passed","Tue Mar 31 18:59:08 UTC 2026","","","",""
"Test cases for TestSignRequestValuesSuccess","1","TestSignRequestValuesSuccess","","Tue Mar 31 18:54:54 UTC 2026","passed","Tue Mar 31 18:54:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestSignRequestValuesSuccess","TestSignRequestValuesSuccess"
"","8","renders the ZoneSelector when available and on a Zone page","TagSelector","Tue Mar 31 18:58:36 UTC 2026","passed","Tue Mar 31 18:58:36 UTC 2026","","","",""
"","439","Displays the selectors list if passed in through additional sections","EntityInfoDataTableList","Tue Mar 31 18:58:25 UTC 2026","passed","Tue Mar 31 18:58:25 UTC 2026","","","",""
"Test cases for TestParseUserIP_XForwardedFor_RemoteAddr","0","TestParseUserIP_XForwardedFor_RemoteAddr","","Tue Mar 31 18:54:57 UTC 2026","passed","Tue Mar 31 18:54:57 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestParseUserIP_XForwardedFor_RemoteAddr","TestParseUserIP_XForwardedFor_RemoteAddr"
"Test cases for TestStringSetValid","0","TestStringSetValid","","Tue Mar 31 18:55:06 UTC 2026","passed","Tue Mar 31 18:55:06 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestStringSetValid","TestStringSetValid"
"Test cases for TestMatches_Success","1","TestMatches_Success","","Tue Mar 31 18:55:07 UTC 2026","passed","Tue Mar 31 18:55:07 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestMatches_Success","TestMatches_Success"
"","557","should sort by type","SSOProviderTable","Tue Mar 31 18:58:55 UTC 2026","passed","Tue Mar 31 18:58:56 UTC 2026","","","",""
